playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,FieldingPct,CatcherStealPct,PlayerName
murphda07,2012,1,TEX,AL,OF,133,,3075.0,197.0,4.0,1.0,2.0,,,,,,0.995,,David Murphy
murphda08,2012,1,NYN,NL,2B,138,,3384.0,228.0,325.0,15.0,69.0,,,,,,0.974,,Daniel Murphy
paganan01,2012,1,SFN,NL,OF,151,,3837.0,377.0,7.0,5.0,2.0,,,,,,0.987,,Angel Pagan
parrage01,2012,1,ARI,NL,OF,109,,2526.0,189.0,8.0,4.0,1.0,,,,,,0.98,,Gerardo Parra
pedrodu01,2012,1,BOS,AL,2B,139,,3648.0,228.0,392.0,5.0,100.0,,,,,,0.992,,Dustin Pedroia
penaca01,2012,1,TBA,AL,1B,153,,3711.0,1182.0,95.0,7.0,119.0,,,,,,0.995,,Carlos Pena
pencehu01,2012,1,PHI,NL,OF,101,,2706.0,161.0,9.0,5.0,0.0,,,,,,0.971,,Hunter Pence
peraljh01,2012,1,DET,AL,SS,149,,3834.0,229.0,359.0,7.0,75.0,,,,,,0.988,,Jhonny Peralta
phillbr01,2012,1,CIN,NL,2B,146,,3753.0,241.0,391.0,5.0,73.0,,,,,,0.992,,Brandon Phillips
pierrju01,2012,1,PHI,NL,OF,107,,2400.0,156.0,1.0,1.0,0.0,,,,,,0.994,,Juan Pierre
pierzaj01,2012,1,CHA,AL,C,126,,3213.0,899.0,71.0,6.0,8.0,8.0,,76.0,27.0,,0.994,0.262,A. J. Pierzynski
poseybu01,2012,1,SFN,NL,C,114,,2919.0,855.0,69.0,8.0,9.0,2.0,,87.0,38.0,,0.991,0.304,Buster Posey
pradoma01,2012,1,ATL,NL,OF,119,,2958.0,179.0,9.0,3.0,1.0,,,,,,0.984,,Martin Prado
pujolal01,2012,1,LAA,AL,1B,120,,3066.0,1013.0,97.0,7.0,95.0,,,,,,0.994,,Albert Pujols
ramiral03,2012,1,CHA,AL,SS,158,,4176.0,227.0,434.0,12.0,93.0,,,,,,0.982,,Alexei Ramirez
ramirar01,2012,1,MIL,NL,3B,143,,3726.0,71.0,222.0,7.0,14.0,,,,,,0.977,,Aramis Ramirez
rasmuco01,2012,1,TOR,AL,OF,145,,3711.0,304.0,7.0,6.0,1.0,,,,,,0.981,,Colby Rasmus
reddijo01,2012,1,OAK,AL,OF,144,,3837.0,310.0,15.0,6.0,3.0,,,,,,0.982,,Josh Reddick
reverbe01,2012,1,MIN,AL,OF,121,,3183.0,274.0,8.0,0.0,3.0,,,,,,1.0,,Ben Revere
reyesjo01,2012,1,MIA,NL,SS,160,,4233.0,226.0,419.0,18.0,105.0,,,,,,0.973,,Jose Reyes
reynoma01,2012,1,BAL,AL,1B,108,,2871.0,926.0,40.0,5.0,84.0,,,,,,0.995,,Mark Reynolds
riosal01,2012,1,CHA,AL,OF,156,,4107.0,333.0,9.0,7.0,2.0,,,,,,0.98,,Alex Rios
rolliji01,2012,1,PHI,NL,SS,156,,4092.0,204.0,377.0,13.0,74.0,,,,,,0.978,,Jimmy Rollins
rosarwi01,2012,1,COL,NL,C,105,,2634.0,694.0,78.0,13.0,5.0,21.0,,64.0,30.0,,0.983,0.319,Wilin Rosario
rossco01,2012,1,BOS,AL,OF,116,,2916.0,198.0,9.0,1.0,2.0,,,,,,0.995,,Cody Ross
ruizca01,2012,1,PHI,NL,C,106,,2568.0,856.0,73.0,6.0,8.0,5.0,,64.0,33.0,,0.994,0.34,Carlos Ruiz
ryanbr01,2012,1,SEA,AL,SS,138,,3513.0,196.0,396.0,9.0,104.0,,,,,,0.985,,Brendan Ryan
saltaja01,2012,1,BOS,AL,C,104,,2556.0,715.0,41.0,7.0,3.0,6.0,,80.0,18.0,,0.991,0.184,Jarrod Saltalamacchia
sandopa01,2012,1,SFN,NL,3B,102,,2526.0,63.0,207.0,13.0,13.0,,,,,,0.954,,Pablo Sandoval
santaca01,2012,1,CLE,AL,C,100,,2553.0,628.0,65.0,7.0,3.0,10.0,,70.0,25.0,,0.99,0.263,Carlos Santana
saundmi01,2012,1,SEA,AL,OF,136,,3564.0,315.0,4.0,4.0,1.0,,,,,,0.988,,Michael Saunders
seageky01,2012,1,SEA,AL,3B,138,,3627.0,99.0,226.0,13.0,20.0,,,,,,0.962,,Kyle Seager
smoakju01,2012,1,SEA,AL,1B,131,,3468.0,1094.0,70.0,4.0,119.0,,,,,,0.997,,Justin Smoak
soriaal01,2012,1,CHN,NL,OF,145,,3549.0,253.0,12.0,1.0,6.0,,,,,,0.996,,Alfonso Soriano
spande01,2012,1,MIN,AL,OF,125,,3219.0,339.0,6.0,4.0,3.0,,,,,,0.989,,Denard Span
stantmi03,2012,1,MIA,NL,OF,117,,3102.0,257.0,6.0,7.0,1.0,,,,,,0.974,,Giancarlo Stanton
stubbdr01,2012,1,CIN,NL,OF,135,,3321.0,272.0,5.0,5.0,1.0,,,,,,0.982,,Drew Stubbs
swishni01,2012,1,NYA,AL,OF,109,,2724.0,214.0,4.0,3.0,0.0,,,,,,0.986,,Nick Swisher
teixema01,2012,1,NYA,AL,1B,119,,3096.0,985.0,69.0,1.0,91.0,,,,,,0.999,,Mark Teixeira
tejadru01,2012,1,NYN,NL,SS,112,,2895.0,164.0,280.0,12.0,72.0,,,,,,0.974,,Ruben Tejada
tholejo01,2012,1,NYN,NL,C,100,,2394.0,690.0,50.0,6.0,3.0,18.0,,57.0,17.0,,0.992,0.23,Josh Thole
torrean02,2012,1,NYN,NL,OF,124,,2715.0,261.0,6.0,2.0,1.0,,,,,,0.993,,Andres Torres
troutmi01,2012,1,LAA,AL,OF,139,,3678.0,340.0,3.0,4.0,1.0,,,,,,0.988,,Mike Trout
ugglada01,2012,1,ATL,NL,2B,152,,4044.0,258.0,471.0,12.0,103.0,,,,,,0.984,,Dan Uggla
uptonbj01,2012,1,TBA,AL,OF,142,,3765.0,290.0,10.0,3.0,4.0,,,,,,0.99,,Melvin Upton
uptonju01,2012,1,ARI,NL,OF,149,,3843.0,309.0,6.0,5.0,2.0,,,,,,0.984,,Justin Upton
venabwi01,2012,1,SDN,NL,OF,135,,2796.0,209.0,1.0,7.0,0.0,,,,,,0.968,,Will Venable
vicieda01,2012,1,CHA,AL,OF,131,,3279.0,233.0,13.0,2.0,0.0,,,,,,0.992,,Dayan Viciedo
victosh01,2012,1,PHI,NL,OF,101,,2652.0,232.0,7.0,1.0,3.0,,,,,,0.996,,Shane Victorino
vottojo01,2012,1,CIN,NL,1B,109,,2907.0,850.0,116.0,6.0,69.0,,,,,,0.994,,Joey Votto
walkene01,2012,1,PIT,NL,2B,125,,3207.0,234.0,361.0,9.0,76.0,,,,,,0.985,,Neil Walker
weeksje01,2012,1,OAK,AL,2B,113,,3042.0,181.0,293.0,11.0,63.0,,,,,,0.977,,Jemile Weeks
weeksri01,2012,1,MIL,NL,2B,152,,4032.0,236.0,374.0,16.0,78.0,,,,,,0.974,,Rickie Weeks
wietema01,2012,1,BAL,AL,C,134,,3567.0,994.0,52.0,10.0,7.0,5.0,,51.0,32.0,,0.991,0.386,Matt Wieters
willijo03,2012,1,MIN,AL,OF,119,,3084.0,237.0,6.0,4.0,2.0,,,,,,0.984,,Josh Willingham
wrighda03,2012,1,NYN,NL,3B,155,,4044.0,107.0,267.0,10.0,20.0,,,,,,0.974,,David Wright
zimmery01,2012,1,WAS,NL,3B,145,,3840.0,76.0,284.0,19.0,28.0,,,,,,0.95,,Ryan Zimmerman
