playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
detwiro01,2012,1,WAS,NL,10,8,33,27,0,0,0,493.0,149,62,15,52,105,0.241,3.4,0.0,4.0,5.0,1,686.0,1.0,75,8.0,3.0,,164.33,1.22,5.75,2.85,0.82,15.31,Ross Detwiler
diamosc01,2012,1,MIN,AL,12,9,27,27,1,1,0,519.0,184,68,17,31,90,0.274,3.54,2.0,10.0,4.0,0,714.0,0.0,76,3.0,5.0,,173.0,1.24,4.68,1.61,0.88,12.61,Scott Diamond
dickera01,2012,1,NYN,NL,20,6,34,33,5,3,0,701.0,192,71,24,54,230,0.226,2.73,2.0,4.0,9.0,1,927.0,1.0,78,9.0,7.0,,233.67,1.05,8.86,2.08,0.92,24.81,R. A. Dickey
doubrfe01,2012,1,BOS,AL,11,10,29,29,0,0,0,483.0,162,87,24,71,167,0.259,4.86,0.0,5.0,5.0,0,709.0,0.0,95,1.0,6.0,,161.0,1.45,9.34,3.97,1.34,23.55,Felix Doubront
estrama01,2012,1,MIL,NL,5,7,29,23,0,0,0,415.0,129,56,18,29,143,0.247,3.64,0.0,4.0,0.0,1,562.0,0.0,62,7.0,3.0,,138.33,1.14,9.3,1.89,1.17,25.44,Marco Estrada
feldmsc01,2012,1,TEX,AL,6,11,29,21,0,0,0,371.0,139,70,14,32,96,0.279,5.09,2.0,2.0,1.0,1,536.0,5.0,79,0.0,5.0,,123.67,1.38,6.99,2.33,1.02,17.91,Scott Feldman
fiersmi01,2012,1,MIL,NL,9,10,23,22,0,0,0,383.0,125,53,12,36,135,0.254,3.74,0.0,4.0,2.0,0,539.0,1.0,56,4.0,4.0,,127.67,1.26,9.52,2.54,0.85,25.05,Mike Fiers
fistedo01,2012,1,DET,AL,10,10,26,26,2,1,0,485.0,156,62,15,37,137,0.249,3.45,1.0,1.0,7.0,0,673.0,0.0,73,3.0,0.0,,161.67,1.19,7.63,2.06,0.84,20.36,Doug Fister
floydga01,2012,1,CHA,AL,12,11,29,29,0,0,0,504.0,166,80,22,63,144,0.259,4.29,2.0,8.0,14.0,0,724.0,0.0,84,3.0,3.0,,168.0,1.36,7.71,3.38,1.18,19.89,Gavin Floyd
francje01,2012,1,COL,NL,6,7,24,24,0,0,0,339.0,145,70,15,22,76,0.316,5.58,5.0,2.0,8.0,0,502.0,0.0,71,10.0,3.0,,113.0,1.48,6.05,1.75,1.19,15.14,Jeff Francis
gallayo01,2012,1,MIL,NL,16,9,33,33,0,0,0,612.0,185,83,26,81,204,0.243,3.66,3.0,5.0,0.0,0,860.0,0.0,86,11.0,6.0,,204.0,1.3,9.0,3.57,1.15,23.72,Yovani Gallardo
garcifr02,2012,1,NYA,AL,7,6,30,17,0,0,0,322.0,112,62,18,35,89,0.27,5.2,2.0,10.0,3.0,1,461.0,10.0,64,4.0,4.0,,107.33,1.37,7.46,2.93,1.51,19.31,Freddy Garcia
garcija02,2012,1,SLN,NL,7,7,20,20,0,0,0,365.0,136,53,7,30,98,0.289,3.92,1.0,12.0,0.0,1,515.0,0.0,58,8.0,7.0,,121.67,1.36,7.25,2.22,0.52,19.03,Jaime Garcia
garzama01,2012,1,CHN,NL,5,7,18,18,0,0,0,311.0,90,45,15,32,96,0.236,3.91,0.0,1.0,4.0,0,424.0,0.0,48,5.0,1.0,,103.67,1.18,8.33,2.78,1.3,22.64,Matt Garza
geedi01,2012,1,NYN,NL,6,7,17,17,0,0,0,329.0,108,50,12,29,97,0.255,4.1,0.0,0.0,6.0,1,463.0,0.0,56,2.0,3.0,,109.67,1.25,7.96,2.38,0.98,20.95,Dillon Gee
gonzagi01,2012,1,WAS,NL,21,8,32,32,2,1,0,598.0,149,64,9,76,207,0.206,2.89,3.0,10.0,5.0,1,822.0,0.0,69,9.0,7.0,,199.33,1.13,9.35,3.43,0.41,25.18,Gio Gonzalez
greinza01,2012,1,MIL,NL,9,3,21,21,0,0,0,369.0,120,47,7,28,122,0.254,3.44,0.0,4.0,0.0,0,504.0,0.0,49,3.0,0.0,,123.0,1.2,8.93,2.05,0.51,24.21,Zack Greinke
hallaro01,2012,1,PHI,NL,11,8,25,25,0,0,0,469.0,155,78,18,36,132,0.261,4.49,0.0,2.0,5.0,0,646.0,0.0,78,5.0,6.0,,156.33,1.22,7.6,2.07,1.04,20.43,Roy Halladay
hamelco01,2012,1,PHI,NL,17,6,31,31,2,2,0,646.0,190,73,24,52,216,0.237,3.05,3.0,3.0,3.0,2,867.0,0.0,80,6.0,4.0,,215.33,1.12,9.03,2.17,1.0,24.91,Cole Hamels
hammeja01,2012,1,BAL,AL,8,6,20,20,1,1,0,354.0,104,45,9,42,113,0.234,3.43,2.0,3.0,2.0,0,493.0,0.0,48,3.0,1.0,,118.0,1.24,8.62,3.2,0.69,22.92,Jason Hammel
hansoto01,2012,1,ATL,NL,13,10,31,31,0,0,0,524.0,183,87,27,71,161,0.271,4.48,5.0,6.0,5.0,0,761.0,0.0,95,8.0,2.0,,174.67,1.45,8.3,3.66,1.39,21.16,Tommy Hanson
happja01,2012,1,HOU,NL,7,9,18,18,0,0,0,313.0,112,56,17,39,98,0.275,4.83,0.0,5.0,1.0,0,457.0,0.0,58,7.0,2.0,,104.33,1.45,8.45,3.36,1.47,21.44,J. A. Happ
haranaa01,2012,1,LAN,NL,10,10,31,31,0,0,0,539.0,167,72,14,85,131,0.246,3.61,10.0,4.0,4.0,0,786.0,0.0,85,9.0,10.0,,179.67,1.4,6.56,4.26,0.7,16.67,Aaron Harang
harenda01,2012,1,LAA,AL,12,13,30,30,1,1,0,530.0,190,85,28,38,142,0.275,4.33,3.0,5.0,3.0,1,747.0,0.0,95,7.0,8.0,,176.67,1.29,7.23,1.94,1.43,19.01,Dan Haren
harrelu01,2012,1,HOU,NL,11,11,32,32,1,1,0,581.0,185,81,13,78,140,0.253,3.76,5.0,10.0,1.0,3,827.0,0.0,90,8.0,10.0,,193.67,1.36,6.51,3.62,0.6,16.93,Lucas Harrell
harrima01,2012,1,TEX,AL,18,11,32,32,4,2,0,640.0,210,78,22,59,133,0.258,3.29,0.0,2.0,1.0,0,876.0,0.0,82,1.0,2.0,,213.33,1.26,5.61,2.49,0.93,15.18,Matt Harrison
hellije01,2012,1,TBA,AL,10,11,31,31,0,0,0,531.0,163,61,25,59,124,0.243,3.1,3.0,5.0,4.0,0,741.0,0.0,68,4.0,3.0,,177.0,1.25,6.31,3.0,1.27,16.73,Jeremy Hellickson
